longitude	latitude	code	station	location
126.835	37.65639	KR	Goyang-si	Asia/Seoul
71.67164	30.29184	PK	Qadirpur Ran	Asia/Karachi
3.87723	43.61092	FR	Montpellier	Europe/Paris
-58.70072	-34.74785	AR	Pontevedra	America/Argentina/Buenos_Aires
139.6853	35.815	JP	Shimotoda	Asia/Tokyo
-73.75335	45.4473	CA	Dorval	America/Toronto
-122.24064	47.80527	US	Bothell West	America/Los_Angeles
-74.96933	39.71734	US	Sicklerville	America/New_York
33.2525	57.97472	RU	Valday	Europe/Moscow
83.97573	21.46527	IN	Sambalpur	Asia/Kolkata
32.88667	3.27833	UG	Kitgum	Africa/Kampala
-3.59625	5.27247	CI	Bonoua	Africa/Abidjan
4.52514	12.74482	NG	Argungu	Africa/Lagos
-15.6	13.56667	GM	Farafenni	Africa/Banjul
89.20083	55.54028	RU	Sharypovo	Asia/Krasnoyarsk
-119.27337	50.26729	CA	Vernon	America/Vancouver
-122.2608	38.17492	US	American Canyon	America/Los_Angeles
13.610242	50.598427	CZ	Litvínov	Europe/Prague
36.25361	47.48444	UA	Polohy	Europe/Zaporozhye
7.20769	50.80019	DE	Siegburg	Europe/Berlin
-1.4001	7.06273	GH	Mampong	Africa/Accra
10.18003	24.96334	LY	Ghat	Africa/Tripoli
-84.13722	9.92787	CR	San Rafael	America/Costa_Rica
8.61839	49.68369	DE	Bensheim	Europe/Berlin
71.30633	21.34222	IN	Kundla	Asia/Kolkata
12.19458	10.61285	NG	Biu	Africa/Lagos
43.83992	55.39485	RU	Arzamas	Europe/Moscow
35.59642	3.11988	KE	Lodwar	Africa/Nairobi
106.92667	-6.91806	ID	Sukabumi	Asia/Jakarta
-43.80139	-20.25333	BR	Itabirito	America/Sao_Paulo
11.34046	50.72043	DE	Rudolstadt	Europe/Berlin
136.13108	34.75856	JP	Ueno-ebisumachi	Asia/Tokyo
86.59611	25.87498	IN	Saharsa	Asia/Kolkata
69.67639	41.29444	UZ	Parkent	Asia/Tashkent
6.76111	53.16167	NL	Hoogezand	Europe/Amsterdam
110.8405	-6.8048	ID	Kudus	Asia/Jakarta
-35.71667	-8.66667	BR	Catende	America/Recife
-80.66756	26.68451	US	Belle Glade	America/New_York
-82.32483	29.65163	US	Gainesville	America/New_York
2.1699	48.98994	FR	Herblay	Europe/Paris
17.58522	40.53123	IT	Francavilla Fontana	Europe/Rome
38.2739	46.7055	RU	Yeysk	Europe/Moscow
5.4584	43.32393	FR	Les Olives	Europe/Paris
-75.11028	-15.21194	PE	Minas de Marcona	America/Lima
91.61356	26.44931	IN	Rangia	Asia/Kolkata
-95.44744	29.53885	US	Fresno	America/Chicago
14.43865	40.87329	IT	Somma Vesuviana	Europe/Rome
9.72749	48.28259	DE	Ehingen	Europe/Berlin
-0.59543	44.80477	FR	Talence	Europe/Paris
117.81667	36.81667	CN	Zhoucun	Asia/Shanghai
17.4674	50.86079	PL	Brzeg	Europe/Warsaw
-87.71255	41.84364	US	South Lawndale	America/Chicago
15.268654	49.952431	CZ	Kutná Hora	Europe/Prague
-96.67834	34.77453	US	Ada	America/Chicago
-85.43772	10.63504	CR	Liberia	America/Costa_Rica
99.89166	15.46063	TH	Thap Than	Asia/Bangkok
59.4839	58.7002	RU	Kachkanar	Asia/Yekaterinburg
125.21972	-8.99167	TL	Maliana	Asia/Dili
7.60872	43.78956	IT	Ventimiglia	Europe/Rome
27.06365	50.18545	UA	Shepetivka	Europe/Kyiv
-117.71978	34.09668	US	Claremont	America/Los_Angeles
84.13864	22.88783	IN	Jashpurnagar	Asia/Kolkata
51.3452	53.37596	RU	Otradnyy	Europe/Samara
73.97117	31.96258	PK	Naushahra Virkan	Asia/Karachi
